id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
INET_CO_0;Aberdeen;['INET_CO_0'];['SEQ_2174_p'];57.10441;-2.33587;GB;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 44.20684519414249, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.077197471297236, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(turbine_power_3_MW, Pipe_diameter_mm)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_1;Achim;['INET_CO_1'];['LKD_N_190'];53.03387;9.01478;DE;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 36.49654263975369, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.077197471297236, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(turbine_power_3_MW, Pipe_diameter_mm)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_2;Ajdovscina;['INET_CO_2'];['SEQ_227_p'];45.88023;13.90062;SI;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_3;Alcazar De San Juan;['INET_CO_3'];['N_288_L_LMGN'];39.37572;-3.28666;ES;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_4;Aleksandrovka;['INET_CO_4'];['SEQ_6077_p'];47.77446;31.30426;UA;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_5;Algete;['INET_CO_5'];['N_330_S_LMGN'];40.53036;-3.57294;ES;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_6;Almendralejo;['INET_CO_6'];['N_30_M_LMGN'];38.69416;-6.38961;ES;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 38.88673643161422, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.077197471297236, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(turbine_power_3_MW, Pipe_diameter_mm)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_7;Alphen;['INET_CO_7'];['SEQ_4630_p'];51.46934;4.81458;NL;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_8;Alrewas;['INET_CO_8', 'GB_N_13'];['INET_N_42'];52.73869;-1.77561;GB;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 44.20684519414249, 'max_power_MW': 21.6, 'max_pressure_bar': 94.70588235294117, 'num_turb': 2, 'start_year': 1970.0, 'turbine_fuel_isGas_1': 1.0, 'turbine_fuel_isGas_2': 1.0, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 10.8, 'turbine_power_2_MW': 10.8, 'turbine_power_3_MW': 0, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.077197471297236, 'max_power_MW': 0, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0, 'start_year': 0, 'turbine_fuel_isGas_1': 0, 'turbine_fuel_isGas_2': 0, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 5.4, 'turbine_power_2_MW': 5.4, 'turbine_power_3_MW': 0.5, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(turbine_power_3_MW, Pipe_diameter_mm)', 'max_power_MW': 'raw', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'raw', 'start_year': 'raw', 'turbine_fuel_isGas_1': 'raw', 'turbine_fuel_isGas_2': 'raw', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'M_Internet.set_turbine_power', 'turbine_power_2_MW': 'M_Internet.set_turbine_power', 'turbine_power_3_MW': 'make_Attrib(const)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_9;Ananiev;['INET_CO_9'];['N_182_M_LMGN'];47.74618;29.99192;UA;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 27.677761678849517, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 94.70588235294117, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.50118088648202, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 6.4878892733564015, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0.5, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(max_power_MW, turbine_power_1_MW)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'Median(max_pressure_bar)', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'make_Attrib(const)', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
INET_CO_10;Arieux En Gohelle;['INET_CO_10'];['N_2189_S_LMGN'];50.4396;2.88888;FR;None;{'end_year': 2050, 'is_H_gas': 1.0, 'max_cap_M_m3_per_d': 33.02690649027873, 'max_power_MW': 33.25498442347837, 'max_pressure_bar': 90.0, 'num_turb': 3, 'start_year': 1983, 'turbine_fuel_isGas_1': 1, 'turbine_fuel_isGas_2': 1, 'turbine_fuel_isGas_3': 1.0, 'turbine_fuel_isGas_4': 1, 'turbine_fuel_isGas_5': 1, 'turbine_fuel_isGas_6': 1, 'turbine_power_1_MW': 11.800000000000006, 'turbine_power_2_MW': 11.800000000000006, 'turbine_power_3_MW': 12.75, 'turbine_power_4_MW': 0, 'turbine_power_5_MW': 0, 'turbine_power_6_MW': 0};{'end_year': 20, 'is_H_gas': 0, 'max_cap_M_m3_per_d': 9.077197471297236, 'max_power_MW': 4.650993476133131, 'max_pressure_bar': 0, 'num_turb': 0.6842105263157895, 'start_year': 20, 'turbine_fuel_isGas_1': 0.5, 'turbine_fuel_isGas_2': 0.5, 'turbine_fuel_isGas_3': 0, 'turbine_fuel_isGas_4': 0.5, 'turbine_fuel_isGas_5': 0.5, 'turbine_fuel_isGas_6': 0.5, 'turbine_power_1_MW': 4.227747747747748, 'turbine_power_2_MW': 4.156296296296297, 'turbine_power_3_MW': 4.334444444444445, 'turbine_power_4_MW': 0.5, 'turbine_power_5_MW': 0.5, 'turbine_power_6_MW': 0.5};{'end_year': 'make_Attrib(const)', 'is_H_gas': 'raw', 'max_cap_M_m3_per_d': 'Lasso(turbine_power_3_MW, Pipe_diameter_mm)', 'max_power_MW': 'Lasso(num_turb, turbine_power_4_MW)', 'max_pressure_bar': 'raw', 'num_turb': 'Median(num_turb)', 'start_year': 'make_Attrib(const)', 'turbine_fuel_isGas_1': 'make_Attrib(const)', 'turbine_fuel_isGas_2': 'make_Attrib(const)', 'turbine_fuel_isGas_3': 'raw', 'turbine_fuel_isGas_4': 'make_Attrib(const)', 'turbine_fuel_isGas_5': 'make_Attrib(const)', 'turbine_fuel_isGas_6': 'make_Attrib(const)', 'turbine_power_1_MW': 'Median(turbine_power_1_MW)', 'turbine_power_2_MW': 'Median(turbine_power_2_MW)', 'turbine_power_3_MW': 'Median(turbine_power_3_MW)', 'turbine_power_4_MW': 'make_Attrib(const)', 'turbine_power_5_MW': 'make_Attrib(const)', 'turbine_power_6_MW': 'make_Attrib(const)'};{}
